product_id,title,category,rating
B09Y5TT59S,"Bamboo Phone Docking Station, OTESS 6 in 1 Wireless Charging Station Compatible with iPhone/AirPods, Nightstand Organizer With Key Holder, Wallet Stand & Watch Organizer, Best Gift For Men/Dad/Husband",All Electronics,3.8
B078JR1HTN,"Dome Glass Google Pixel 2 XL Screen Protector Tempered Glass Shield, [Liquid Dispersion Tech] 2.5D Edge of Screen Coverage, Easy Install Kit and UV Light by Whitestone for Google Pixel 2 XL (2017)",All Electronics,3.8
B0C1BQQVGK,"AINOPE USB C Car Charger Port,PD36W QC36W Super Fast Car Charger Adapter USB C,Cigarette Lighter USB Charger for iPhone 14 13 12,Samsung S23,MacBook Pro,iPad",All Electronics,4.6
B00NG1HS0K,IQ Shield Screen Protector Compatible with Apple Watch Series 1 (42mm)(6-Pack) LiquidSkin Anti-Bubble Clear Film,Cell Phones & Accessories,3.8
B00WOBDV04,"Samsung Galaxy S4 cases,Galaxy S4 case,Galaxy S4 phone cases,Samsung Galaxy S4 case,Galaxy S4 cases,s4 case,Galaxy S4 TPU Case,Linycase Samsung Galaxy S4 Case Beautiful pattern Fashion TPU Soft Design Galaxy S4 case Galaxy S4 Case Cover for Samsung Galaxy S4 i9500#Q17",Cell Phones & Accessories,3.1
B00LN2QAMG,"COOSKIN iPhone Case Waterproof Shockproof Dust/Dirt Proof Zinc Alloy Aluminum Metal Protector Cover Buffering Silicone Mat,Case for Apple iPhone 5 iPhone 5s - Retail Packaging",Cell Phones & Accessories,3.4
B01GXKFHTY,"ZenFone 3 ZE520KL (5.2 inch) Case , MicroP(TM) Nature TPU Soft Cover Crystal Case Clear Skin Soft Case Sl Case for Asus ZenFone 3 ZE520KL - Retail Packaging (Clear TPU)",Cell Phones & Accessories,4.3
B00K9IMKME,SPRAWL New Fashion Design Hard Skin Case Cover Shell for Mobile phone Apple Iphone 4 4S 4G--golden sprrkling background,Cell Phones & Accessories,5.0
B00IQIACAG,iLuv Selfy® Case with Built-in Wireless Camera Shutter for Apple iPhone 5s / iPhone 5 - Carrying Case - Black,Cell Phones & Accessories,4.2
B07XB18K64,Super Slim Thin Phone Ring Holder 360 Degree Rotation Finger Add On Kickstand Metal Ring Grip for Magnetic Car Mount Compatible with All Smartphone (Pink),Cell Phones & Accessories,2.6
B01F5VMRCM,ILLUMI AquaShield Screen Protector Compatible with Samsung Galaxy S7 Edge (2-Pack)(Case Friendly) No-Bubble High Definition Clear Flexible TPU Film,Cell Phones & Accessories,3.8
B01DNLJ7WE,"Nexus 6P Case, Ranyi Aluminum Metal Bumper Detachable + Acrylic Hard Back Cover 2 in 1 Armor box Protective Case [and screen protector] for Huawei Google Nexus 6P (2015 Release), deep blue",Cell Phones & Accessories,3.9
B01LD85MBE,"kate spade new york Portable, MFi Certified Disguised Lightning Cable to USB for Apple Charging - Black/Cream",Cell Phones & Accessories,3.9
B01MXF01LI,"Cablex 2 Pack 3FT 2in1 Lightning and Micro USB Cable Nylon Braided Sync and Charging Cable Cord Compatible with iPhone 7/7Plus/6s plus/6s/6 plus/6/5s/5c/5, iPad /iPod, Samsung, HTC, and More(Black)",Cell Phones & Accessories,2.7
B07JJYW19K,"E-Began Case for Samsung Galaxy J8 2018, Premium [Natural Walnut Wood] with Canvas Fabrics, Protective Durable Phone Case -Wood",Cell Phones & Accessories,3.8
B07P2D4ZKD,"ESR Tempered-Glass Designed for the Pixel 3a XL Screen Protector, 2-Pack, Edge-to-Edge Coverage, Fingerprint, Scratch, Force-Resistant, Case Friendly Screen Protector for the Google Pixel 3a XL (2019)",Cell Phones & Accessories,4.0
B07H9QS32X,"JAZ iPhone Xr Case Clear Ultra Slim Soft Silicone Rubber Bumper Cushion Antio-Scratch Hybrid Crystal Transparent Case Cover for Apple iPhone Xr 6.1 inch (2018) (C-White, iPhone Xr 6.1)",Cell Phones & Accessories,4.3
B0BC7WXG7P,"NUU A9L | Unlocked 4G LTE Smartphone | 6.3"" Display | 32GB + 3GB RAM | 3000 mAh Battery | Android 11 Edition | Compatible with T-Mobile AT&T Indigo Blue…",Cell Phones & Accessories,3.0
B01IB8WMMQ,"iCarez Tempered Glass Screen Protector for iPhone 8 Plus iPhone 7 Plus 5.5"" 2-Pack",Cell Phones & Accessories,4.5
B07KCVMH9B,"USB Charging Station Dock for Multiple Devices,5 Port Bamboo Charging Stand Compatible for iPhone,Samsung Galaxy Smart Phone,Apple Watch,iPad and Other USB Devices(5 Pack Cables Included) (YELLOW2)",Cell Phones & Accessories,4.8
B0087ESD2S,"Galaxy Note 8 Clear Screen Protector, (2Packs) [Easy Bubble-Free Installation] Tempered Glass Screen Protector 3D Curved/HD Clarity/Case Friendly Compatible with Samsung Galaxy Note 8",Cell Phones & Accessories,5.0
B00UVVV7SC,CoverON for LG Google Nexus 5 Case [Snap Fit Series] Slim Fit Hard Polycarbonate Snap On Phone Cover with Matte Rubberized Grip Coating - Purple,Cell Phones & Accessories,5.0
B01A0S7CVG,"NextKin Motorola Droid MAXX XT1080M Ultra XT1080 Leather Wallet Pouch, Red LadyBug on Wood Built-in Card With TPU Gel Protector Cover Case Kickstand",Cell Phones & Accessories,5.0
B06XJFDTN7,Spigen Tempered Glass LG G6 Screen Protector [ Case Friendly ] [ 9H Hardness ] for LG G6 (2 Pack),Cell Phones & Accessories,4.5
B00824HVNK,Amzer AMZ93951 Silicone Jelly Skin Fit Case Cover for Samsung GALAXY S III GT-I9300 and Samsung Galaxy S 3 I9300 - Retail Packaging - Black,Cell Phones & Accessories,3.7
B017I71ZX8,Caseguru Armor Guard Slim Fit Case for iPhone 6 Plus/iPhone 6S Plus (5.5 Inch) [Stand Feature] - Black,Cell Phones & Accessories,3.3
B07HB7H2Y9,Moto X (4th Generation) with Alexa Hands-Free – 32 GB - Unlocked – Super Black - Prime Exclusive,Cell Phones & Accessories,4.1
B00CJDEMDW,"Onite Battery for Samsung GT-I9190 Galaxy S4 Mini, Galaxy S IV Mini I9190, I9195, I9197, I9192, Model: B500AE / EB-B500BE",Cell Phones & Accessories,4.1
B01LYO7I8F,"Klearlook [2 Pack HD Clear Tempered Glass] iPhone 7 Plus, iPhone 8 Plus Screen Protector (0.33 mm) and 1 Pack Back Skin Flim for Apple iPhone 7 Plus, iPhone 8 Plus [Front and Back]",Cell Phones & Accessories,4.1
B01DG1UMJ8,Galaxy S7 Edge [PET] Screen Protector [Ultra Thin 3D Curved] [Full Coverage] [Fully Transparent] [Anti-Fingerprint/Anti-Scratch Resistant] [Microfiber Cloth Included],Cell Phones & Accessories,3.1
B01N7ZBK4G,Kapaver OnePlus 3 / OnePlus 3T Hybrid Dual Protection Gunmetal Case Cover ( One Plus 3 / One Plus 3T ) (Hybrid Dual),Cell Phones & Accessories,3.9
B0053Y4MXE,iGadgitz Black Water Resistant Neoprene Sports Gym Jogging Armband for HTC Wildfire S Android Smartphone Cell Phone (SUITABLE FOR METRO PCS AND T-MOBILE MODELS ONLY),Cell Phones & Accessories,3.8
B00MVGKL28,LCD Touch Screen Digitizer Frame Assembly Full Set LCD Touch Screen Replacement for iPhone 5 - White,Cell Phones & Accessories,3.6
B01E6NZ37Q,"iPhone SE Case, E LV iPhone 5SE Case Cover - Belt Swivel Clip / Kickstand - Dual Layer Armor Holster Defender Full Body Protective Case Cover for iPhone 5 5S SE - BLACK",Cell Phones & Accessories,3.6
B00HWS2LEQ,White Complete Housing Back Battery Door Cover & Mid Frame Assembly for iPhone 5,Cell Phones & Accessories,4.3
B07R5J45WW,"Kit Me Out World Carbon Series Case Designed for Samsung Galaxy S8, Full Matte Slim Fit Flexible TPU Minimal Durable Protection Case Cover Brushed Carbon Fiber Effect (Red)",Cell Phones & Accessories,4.0
B082HY25NJ,"iPhone 11 Case,15ft Drop Tested,ZADORN Military Grade Heavy Duty Cover with Hard PC and Soft TPU Protective Phone Case for iPhone 11 6.1 inch 2019 Blue",Cell Phones & Accessories,4.3
B0194IRKFQ,"iPhone 6s Plus Case, Milocos Shock Absorbing Hybrid Best Impact Defender Rugged Slim Cover Shell w/ Plastic Outer & Rubber Silicone Inner for iPhone 6 Plus and 6s Plus (5.5 inch)[Hot Pink/Grey]",Cell Phones & Accessories,5.0
B01MXMNLUJ,"Wakeach 60W Magnetic 2nd-Gen Replacement Charger Cord Cable,Compatible for MacBook Air and MacBook Pro Retina 11 13 inch, Power Bank Male Connector 5.5 x 2.5mm (5Pin 2nd-Gen T-tip)",Cell Phones & Accessories,3.7
B0BFCLTPJ8,Google Pixel 7 Pro - Unlocked Android 5G Smartphone - 128GB - Hazel with 2X Amazon.com Gift Card in a Mini Envelope,Cell Phones & Accessories,4.4
B01G7LR12A,"IQShield X0017Q7SDJ Galaxy Note 7 Screen Protector, Full Coverage Anti Glare Screen Protector for Samsung Galaxy Note 7 Bubble Free Film",Cell Phones & Accessories,3.3
B07GW9LGV4,HALLEAST Airpods Metal Protective Case Cover Silicone with Metal Cover and Keychain Silicone Strap Accessories Compatible for Airpods 1&2 Case (Not for Wireless Charging),Cell Phones & Accessories,4.3
B01F1YCQF6,"Patchworks ITG Privacy for Apple iPhone 6s Plus / 6 Plus - Raw Glass from Japan, Finished in Korea, Anti-Spy Privacy Filter from 3M, Impossible Tempered Glass Screen Protector",Cell Phones & Accessories,3.7
B01CWO8SOG,"Galaxy S7 Case,Window View with Invisible Magnetic Closure Flip Leather Wallet Cover Folio Case Stand Card Holder Slot for Samsung Galaxy S7 (Plum)",Cell Phones & Accessories,3.4
B00CM3FDQY,NEXTKIN Snap On Hard Crystal Protector Cover Case For Samsung Galaxy S3 III i9300 i747 L710 I535 T999 - Red Ladybug,Cell Phones & Accessories,2.8
B0B9X78NTK,"[5-in-1] LK for iPhone 13 Case, 2 Pack Tempered Glass Screen Protector + 2 Packs Lens Protector, Matte-Finish, All-Round Protection, Shockproof, Anti-Scratches Kit for iPhone 13 case",Cell Phones & Accessories,4.6
B01BMKXY9U,"Galaxy S7 Edge Case, CoverON [Atomic Series] Hybrid Armor Cover Tough Protective Hard Kickstand Phone Case for Samsung Galaxy S7 Edge - Black",Cell Phones & Accessories,3.9
B00EKT5UNY,"LG Optimus F3, Purple 4GB (Sprint)",Cell Phones & Accessories,2.5
B00OVG98XY,"Stalion Holster Case & Belt Clip with Kickstand for iPhone 6 Plus 6s Plus (5.5"" Inch)(Jet Black)",Cell Phones & Accessories,3.7
B077QBTWKR,"Amoner iWatch Screen Protector, Full Coverage Tempered Glass Screen Protector 2.5D Curved Clear Display Screen Protector for iWatch 42mm- Black",Cell Phones & Accessories,2.5
B07C5LN8WC,"Selfie Ring Light with Cell Phone Holder Stand for Live Stream/Makeup, UBeesize LED Camera Beauty Light [3-Light Mode] [10-Level Brightness] with Flexible Long Arms, Compatible iPhone Android Phone",Cell Phones & Accessories,4.3
B09LV3DV1R,"EFAITHFIX for iPhone 11 Pro Max LCD Screen Replacement 6.5 Inch Assembly Display 3D Touch Screen Digitizer with Repair Tools Kit Waterproof Adhesive Tempered Glass Protector for A2161, A2220, A2218",Cell Phones & Accessories,3.6
B07KF9S9VV,Daisy Pop socket Purple Floral Design Beautiful Flower PopSockets PopGrip: Swappable Grip for Phones & Tablets,Cell Phones & Accessories,5.0
B09GYK2R1Z,"Ryoko Solar Charger Power Bank 20000mAh, Solar Phone Charger with Dual USB 5V Output, 10 LED Flashlights, Waterproof Outdoor Battery Pack for iPhone, Samsung, Switch, Tablet",Cell Phones & Accessories,4.2
B08ZW74GHR,"TALK WORKS Magnetic Car Phone Holder Compatible w/iPhone 13/13 Pro/13 Pro Max/14/14 Plus/14 Pro/14 Pro Max, Android Smartphones - Universal Rotating Mount (Black, Pack of 2)",Cell Phones & Accessories,3.9
B094NHNLR3,"iHillon Nylon Solo Loop Bands Compatible with Apple Watch 49mm 45mm 41mm 44mm 42mm 40mm 38mm, Adjust Stretchy Braided Elastic Sport Replacement Wristbands for iWatch Series iWatch Series Ultra/8/7/6/5/4/3/2/1/SE Women Men",Cell Phones & Accessories,4.4
B08HLH9SND,"WEIPIN 12"" Desktop Selfie Ring Light with Stand and Phone Holder for iPhone&Android, 3 Circle Light Mode Dimmable LED Ringlight with Remote Shutter, Adjustable Makeup Video, USB & Storage Box Included",Cell Phones & Accessories,3.8
B09JSYH7FV,Twelve South PowerPic | Picture Frame Stand with Integrated 10W Qi Charger for iPhone/Wireless Charging Smart Phones (Black),Cell Phones & Accessories,4.0
B00YL0MXRI,Wearlizer Deep Pink Thin Leather Compatible with iWatch Band 42mm 44mm Womens Slim Sport Strap Replacement Wristband Leisure Small Bracelet (Rose Gold Metal Clasp) Series 4 3 2 1 Edition,Cell Phones & Accessories,4.2
B08CXHHLWS,"ESR Tempered-Glass Screen Protector for iPhone 12 Mini [3-Pack] [Easy Installation Frame] [Case-Friendly] Premium Tempered Glass Screen Protector for 12 Mini 2020, 5.4-Inch",Cell Phones & Accessories,4.6
B07CXN96BT,"[6 Pack] LK Screen Protector for Apple Watch Series 4/5 / 6 / SE-40mm, Apple Watch Series 7 41mm, New Version, Scrathes-Resistant, Anti-Bubble, Flexible TPU Clear Film",Cell Phones & Accessories,4.1
B0771K89ZQ,"Google Pixel 2XL Case, Google Pixel 2 XL Wallet Case Fashion 3D Handmade Bling Diamond Stand Flip Case with Card Slot Holder and Hand Strap Folio Cover Case for Google Pixel 2 XL (Purple)",Cell Phones & Accessories,4.5
B07L19KKYC,"TalkWorks iPhone 8 Plus Screen Protector (Also Fits iPhone 7 Plus, 6S+, 6+) 3 Pack Tempered Glass Film Durable 0.33mm 9H Hardness, Case Compatible, Smudge, Scratch, Crack, Shatter Proof, HD Touch",Cell Phones & Accessories,4.4
B010XDJTWS,"Plantronics M180 Wireless Bluetooth Headset - Compatible with iPhone, Android, and Other Leading Smartphones - Grey",Cell Phones & Accessories,4.3
B013T7XMZA,"Emilydeals Charger Dock Stand for Garmin Venu/Venu Sq/Venu 2/2S, Vivoactive 4/4S/3/3 Music, Instinct 2/2s, Fenix 7X 7S 7 6 5 Smartwatch",Cell Phones & Accessories,4.4
B06W5G5RNB,"New White LCD Screen Replacement for iPhone 6s Plus 5.5 Inch with Tool kit and Direction Video and Instructions Model: A1634, A1687, A1699",Cell Phones & Accessories,3.8
B0BBVQ8J3J,"Delidigi Compatible with iPhone 14 Pro Max Case Wallet with Card Holder, Flip PU Leather Built-in 4 Card Slots, Kickstand and Shockproof Case for iPhone 14 Pro Max 6.7 inch Women Men(Green)",Cell Phones & Accessories,4.5
B08JPGBWKW,"Samsung Adaptive Fast Charging Wall Charger Adapter,[4-Pack ] Power Adapter Charging Block for Samsung Galaxy S10 S9 S8 S7 S6 Note 8 9, iPhone, LG, HTC and More(Black)",Cell Phones & Accessories,4.8
B07QYQYMPN,"Phone Ring Stand Holder AUKE 360 Degree Rotating and 180 Flip Mobile Cell Phone Finger Spinner Ring Grip Kick Stand,Compatible with Phone X/8, Galaxy S10 Note 8/S9+ (Black)",Cell Phones & Accessories,3.9
B0BF17XVMV,"BELTRON Belt Clip Holster Compatible with Apple Clear Case for iPhone 14 Plus, iPhone 14 Pro Max with MagSafe - Features: Built in Kickstand (Holster Only, Case is NOT Included)",Cell Phones & Accessories,4.3
B0BVBGPW58,"GIN FOXI Battery Case for iPhone 13 Pro Max & 12 Pro Max, Real 7000mAh Ultra-Slim Battery Charging Case Rechargeable Anti-Fall Extended Battery for iPhone 13 Pro Max &12 Pro Max Battery Case(6.7 inch)",Cell Phones & Accessories,4.0
B072NZLHQK,"COVRWARE Aegis Series Case Compatible with Samsung Galaxy S8 Plus, Full-Coverage Screen Protector, Heavy Duty Rugged Full-Body Armor Holster Case [Belt Swivel Clip][Kickstand], Teal",Cell Phones & Accessories,4.3
B094F8W1M6,"TALK WORKS USB C Cable 10ft Long Android Phone Charger Premium Nylon Braided Heavy Duty Type C Fast Charging Cord for Samsung Galaxy S21 / S20 / S10 / S9 / S8, Note, Pixel, Nintendo Switch - Slate",Cell Phones & Accessories,4.5
B00HJ2KEMQ,Generic QI Wireless Charging Plate For Smart phones Charging Pad Black,Cell Phones & Accessories,3.6
B08NJXHN7H,"Henva Sport Bands Compatible with Apple Watch Band 45mm 44mm 42mm 41mm 40mm 38mm for Women Men, Breathable Replacement with Air Holes for iWatch SE Series 7/6/5/4/3/2/1, Black/Gray, White/Black, S/M",Cell Phones & Accessories,4.7
