id,label,asin,title,average_rating,rating_number,price,color,dimensions,weight,model_number,date_first_available,screen_size,display_resolution,form_factor,operating_system,display_technology,model_name,ram_gb,storage_gb
product_B09JFJ1Q5C,"apple iphone 12 pro, 256gb, gold - unlocked (renewed premium)",B09JFJ1Q5C,"apple iphone 12 pro, 256gb, gold - unlocked (renewed premium)",4.2,47,678.39,gold,0.28 x 2.8 x 5.75 inches,15.2 ounces,iphone 12 pro,"october 14, 2021",6 inches,,smartphone,ios 12,,iphone 12 pro,,256.0
product_B009IQ0GGA,new oem lg a275 mega torch lighting dual sim bar att t-mobile unlocked gsm phone,B009IQ0GGA,new oem lg a275 mega torch lighting dual sim bar att t-mobile unlocked gsm phone,4.0,6,,black,,0.8 ounces,a275,"september 28, 2012",1.5 inches,,bar,proprietary,,a275,,
product_B07K83KHWG,blu tank 2.4 f030 32mb unlocked gsm dual-sim phone w/dual 1w super flashlight - military green,B07K83KHWG,blu tank 2.4 f030 32mb unlocked gsm dual-sim phone w/dual 1w super flashlight - military green,3.8,12,,military green …,,10.2 ounces,,"december 12, 2018",2.4 inches,,slider,,,,,32.0
product_B096FP8WG3,"xiaomi redmi note 8 2021 (64gb, 4gb) 6.3"" fhd,48mp quad camera, dual sim gsm factory unlocked - us & global 4g lte international version (64gb sd bundle, space black)",B096FP8WG3,"xiaomi redmi note 8 2021 (64gb, 4gb) 6.3"" fhd,48mp quad camera, dual sim gsm factory unlocked - us & global 4g lte international version (64gb sd bundle, space black)",4.5,514,,space black,6.23 x 2.95 x 0.31 inches,6.7 ounces,mzb0974eu,"january 1, 2021",6.3 inches,1920 x 1080,smartphone,android 11.0,lcd,redmi note 8 2021,4.0,4.0
product_B000LNPS2G,motorola w385,B000LNPS2G,motorola w385,2.5,2,,black,,3.52 ounces,,"december 4, 2006",,,,,,,,
product_B09X9FC88M,samsung galaxy s22 ultra 256gb unlocked att tmobile verizon 100% batt! 7548400,B09X9FC88M,samsung galaxy s22 ultra 256gb unlocked att tmobile verizon 100% batt! 7548400,4.7,5,769.0,phantom white,,12.3 ounces,,"april 6, 2022",6.8 inches,,slate,android,,s22 ultra,12.0,12.0
product_B078HG8L5N,lg g pad x 8.0 v520 - 32gb ( wifi + 4g lte unlocked ) gsm android tablet (certified refurbished),B078HG8L5N,lg g pad x 8.0 v520 - 32gb ( wifi + 4g lte unlocked ) gsm android tablet (certified refurbished),5.0,1,,black,,1.32 pounds,,"december 19, 2017",8 inches,,bar,,lcd,,2.0,32.0
product_B09DFK29P7,"folosafenar smartphone,5.72 inch hd full screen cellphone,face recognition and fingerprint unlock smartphone,dual card dual standby,512mb+4gb(orange)",B09DFK29P7,"folosafenar smartphone,5.72 inch hd full screen cellphone,face recognition and fingerprint unlock smartphone,dual card dual standby,512mb+4gb(orange)",2.5,101,,orange,,10.9 ounces,,"march 23, 2021",5.7 inches,,smartphone,,,rino4 pro,512.0,4.0
product_B077GCRPNH,alcatel idol 4s 6071w - 64gb- gold (t-mobile) 4g lte windows 10 smartphone (renewed),B077GCRPNH,alcatel idol 4s 6071w - 64gb- gold (t-mobile) 4g lte windows 10 smartphone (renewed),3.6,48,,black,6.06 x 0.27 x 2.97 inches,5.6 ounces,6071w,"july 3, 2017",5.5 inches,1920 x 1080,smartphone,windows 10,"led, amoled",idol 4s,4.0,32.0
product_B07BSJGRL8,"acer liquid zest plus 16gb ds 5.5"" display 2gb ram 4g lte 13mp- factory unlocked phone - (us warranty) (blue) (certified refurbished)",B07BSJGRL8,"acer liquid zest plus 16gb ds 5.5"" display 2gb ram 4g lte 13mp- factory unlocked phone - (us warranty) (blue) (certified refurbished)",4.2,3,,blue,2.63 x 5.58 x 0.69 inches,6.2 ounces,,"march 29, 2018",,1280 x 720,smartphone,,lcd,,2.0,
product_B08DXKVYQK,"samsung galaxy a11 (64gb, 3gb) 6.4"" hd+, snapdragon 450, long-lasting battery, dual sim gsm unlocked (us + global) 4g volte a115m/ds (fast car charger bundle, white)",B08DXKVYQK,"samsung galaxy a11 (64gb, 3gb) 6.4"" hd+, snapdragon 450, long-lasting battery, dual sim gsm unlocked (us + global) 4g volte a115m/ds (fast car charger bundle, white)",3.9,242,129.99,white,6 x 4 x 2 inches,13.1 ounces,sm-a115m/ds,"january 1, 2021",6.4 inches,1280 x 720,touchscreen,,lcd,galaxy a11,3.0,64.0
product_B0B74J524C,"kxd 6a | unlocked cell phone | 5.5"" full screen display | 8gb rom | 2500mah battery | 8mp camera | android smartphone | us version | black",B0B74J524C,"kxd 6a | unlocked cell phone | 5.5"" full screen display | 8gb rom | 2500mah battery | 8mp camera | android smartphone | us version | black",3.6,6,54.99,black,,5.1 ounces,,"july 20, 2022",5.5 inches,720 x 1280,方块,,,6a,,8.0
product_B0BGPFNML1,"ulefone note 14 unlocked cell phone 2023, android 12 3gb+16gb, triple card slots 6.52"" waterdrop screen, dual sim 4g, 8mp+5mp dual camera, 4500mah battery gsm smartphone, face unlock, gps, us version",B0BGPFNML1,"ulefone note 14 unlocked cell phone 2023, android 12 3gb+16gb, triple card slots 6.52"" waterdrop screen, dual sim 4g, 8mp+5mp dual camera, 4500mah battery gsm smartphone, face unlock, gps, us version",4.2,4,99.99,green,,4.02 pounds,ulefone note 14,"september 28, 2022",6.52 inches,,smartphone,,,ulefone note 14,,16.0
product_B0748NBWDP,"blu t0010uu black tank xtreme pro -water proof smartphone, 4g lte -black",B0748NBWDP,"blu t0010uu black tank xtreme pro -water proof smartphone, 4g lte -black",3.8,328,109.99,black,5.7 x 0.5 x 2.9 inches,8 ounces,t0010uu black,"june 28, 2017",5 inches,720 x 1280 pixels,smartphone,,led,tank xtreme pro,,16.0
product_B008RBPY14,"blu jenny t172 unlocked gsm phone with dual sim, vga camera, video, bluetooth, fm radio, mp3 player, flashlight and microsd slot - white",B008RBPY14,"blu jenny t172 unlocked gsm phone with dual sim, vga camera, video, bluetooth, fm radio, mp3 player, flashlight and microsd slot - white",3.6,24,,white,,6.4 ounces,t172,"may 31, 2012",,,bar,,,,,
product_B08JS1P82B,samsung electronics galaxy note 20 ultra 5g factory unlocked android cell phone | us version | 128gb of storage | mystic white with verizon sim kit for egift card,B08JS1P82B,samsung electronics galaxy note 20 ultra 5g factory unlocked android cell phone | us version | 128gb of storage | mystic white with verizon sim kit for egift card,5.0,1,,mystic white,,,,"may 25, 2022",,,slate,android,amoled,note 20 ultra,,128.0
product_B07ZJ12GVN,l8star small mini flip cell phone bluetooth dialer music cellphone bm60 (blue),B07ZJ12GVN,l8star small mini flip cell phone bluetooth dialer music cellphone bm60 (blue),3.6,117,,,2.36 x 1.1 x 0.71 inches,0.96 ounces,bm60,"october 25, 2019",1.77 inches,,flip,,,,,32.0
product_B0BGYC7HYQ,"iphone 13 pro, 128gb, silver - unlocked (renewed premium)",B0BGYC7HYQ,"iphone 13 pro, 128gb, silver - unlocked (renewed premium)",4.2,551,849.0,silver,0.28 x 2.8 x 5.75 inches,15.3 ounces,a2483,"september 30, 2022",6.1 inches,,slate,,,iphone 13 pro,,128.0
product_B092SPMKG6,"samsung galaxy s21+ plus g996u 5g | factory unlocked android cell phone | us version 5g smartphone | pro-grade camera, 8k video, 64mp high res | 256gb, phantom black - (renewed)",B092SPMKG6,"samsung galaxy s21+ plus g996u 5g | factory unlocked android cell phone | us version 5g smartphone | pro-grade camera, 8k video, 64mp high res | 256gb, phantom black - (renewed)",4.3,79,334.94,phantom black,6.7 x 3.4 x 2.44 inches,12.8 ounces,samsung galaxy s21+ 5g,"april 17, 2021",,,slate,android,,s21+,8.0,256.0
product_B08PNTRC2Y,"apple iphone 12 pro max, 128gb, gold - fully unlocked (renewed)",B08PNTRC2Y,"apple iphone 12 pro max, 128gb, gold - fully unlocked (renewed)",4.2,3115,656.0,gold,7 x 4 x 5 inches,11.7 ounces,a2342,"december 3, 2020",6.7 inches,,smartphone,,oled,iphone 12 pro max,,128.0
product_B09J6KMZ85,"lg stylo 5+ plus (32gb, 3gb ram) 6.2"" fhd+, snapdragon 450, 4g lte gsm at&t unlocked (cricket, t-mobile, metro, global) us warranty lm-q720am (64gb sd bundle, aurora black)",B09J6KMZ85,"lg stylo 5+ plus (32gb, 3gb ram) 6.2"" fhd+, snapdragon 450, 4g lte gsm at&t unlocked (cricket, t-mobile, metro, global) us warranty lm-q720am (64gb sd bundle, aurora black)",3.8,22,,aurora black,6 x 4 x 2 inches,16 ounces,,"january 1, 2020",6.2 inches,1080 x 2160,,,lcd,,,32.0
product_B00D64PURK,"blu studio 5.3 s unlocked dual sim phone with quad-core 1.2ghz processor, android 4.1 jb, 5.3-inch ips high resolution display, and 8mp camera (white)",B00D64PURK,"blu studio 5.3 s unlocked dual sim phone with quad-core 1.2ghz processor, android 4.1 jb, 5.3-inch ips high resolution display, and 8mp camera (white)",4.4,9,,white,3.07 x 0.36 x 6.02 inches,1 pounds,d590i,"june 9, 2013",5.3 inches,,,,"lcd, led",,4.0,4.0
product_B08LP66PZ9,"samsung galaxy a50 64gb 6.4"" 4g lte unlocked, black (used-good)",B08LP66PZ9,"samsung galaxy a50 64gb 6.4"" 4g lte unlocked, black (used-good)",3.7,6,,black,2.94 x 0.3 x 6.24 inches,5.8 ounces,,"october 22, 2020",6.4 inches,1080 x 2340,slate,,amoled,,,64.0
product_B0002BRJAG,palm treo 600 unlocked pda phone with sd/mmc-u.s. version with warranty (silver),B0002BRJAG,palm treo 600 unlocked pda phone with sd/mmc-u.s. version with warranty (silver),3.2,53,,silver,,6.4 ounces,1034na,"june 4, 2004",2.4 inches,,smartphone,,,treo 600,,32.0
product_B07Q5FRCJM,htc u11 life – factory unlocked – sapphire blue – 32gb (renewed),B07Q5FRCJM,htc u11 life – factory unlocked – sapphire blue – 32gb (renewed),3.0,11,,sapphire blue,5.86 x 2.87 x 0.31 inches,12.8 ounces,,"march 29, 2019",5.2 inches,,smartphone,android 8.0,,u11,,32.0
product_B008DSBTAG,"sony xperia sola mt27i-wht unlocked phone with 5 mp camera, android 2.3 os, 1 ghz dual-core processor, and 3.7-inch touchscreen--u.s. warranty (white)",B008DSBTAG,"sony xperia sola mt27i-wht unlocked phone with 5 mp camera, android 2.3 os, 1 ghz dual-core processor, and 3.7-inch touchscreen--u.s. warranty (white)",3.5,20,,white,15.16 x 6.34 x 8.23 inches,4.6 ounces,1262-3155,"may 29, 2012",3.7 inches,,"bar, smartphone",android 2.3,,,,8.0
product_B09VB2342C,xiaomi poco x4 pro 5g + 4g volte global unlocked 256gb + 8gb gsm 6.6in 108 mp triple camera (not verizon/boost/cricket/at&t/metro/cdma) + fast car 51w charger bundle (laser black),B09VB2342C,xiaomi poco x4 pro 5g + 4g volte global unlocked 256gb + 8gb gsm 6.6in 108 mp triple camera (not verizon/boost/cricket/at&t/metro/cdma) + fast car 51w charger bundle (laser black),4.2,662,269.5,laser black,6.46 x 3 x 0.32 inches,7.1 ounces,poco x4 pro 5g,"march 10, 2022",6.67 inches,,smartphone,,amoled,poco x4 pro 5g,256.0,256.0
product_B00Q1FFZ9Y,indigi® 4g lte gsm unlocked 7-inch google certified android 9 pie tabletpc & smartphone 4core @1.3ghz (2gb ram/16gb storage + dualsim slots + sd card) (blk),B00Q1FFZ9Y,indigi® 4g lte gsm unlocked 7-inch google certified android 9 pie tabletpc & smartphone 4core @1.3ghz (2gb ram/16gb storage + dualsim slots + sd card) (blk),2.8,2,,black,,,,"november 23, 2014",7 inches,,,android 9.0,,touch,,32.0
product_B00359WF24,"blu t200 deejay unlocked quad-band gsm phone with fm radio, mp3 player, flashlight and microsd slot - us warranty - blue",B00359WF24,"blu t200 deejay unlocked quad-band gsm phone with fm radio, mp3 player, flashlight and microsd slot - us warranty - blue",3.1,8,,blue,0.59 x 1.73 x 4.05 inches,2.88 ounces,t200 blue,"november 19, 2010",,,bar,,lcd,,,
product_B01NAZYV40,"blu life one x2 mini - 5.0"" unlocked smartphone -4g lte - 64gb + 4gb ram -gold",B01NAZYV40,"blu life one x2 mini - 5.0"" unlocked smartphone -4g lte - 64gb + 4gb ram -gold",3.8,389,,gold,5.5 x 0.3 x 2.7 inches,8 ounces,l0130uu gold,"january 30, 2017",5 inches,1080 x 1920 pixels,smartphone,,,life one x2 mini,,64.0
product_B01NBRAB4J,zte fanfare 2 unlocked 4g lte android 6.0 4.5 inch 5mp flash quad core unlocked,B01NBRAB4J,zte fanfare 2 unlocked 4g lte android 6.0 4.5 inch 5mp flash quad core unlocked,3.5,9,,black,5.2 x 0.39 x 2.6 inches,4.5 ounces,z815,"january 4, 2017",4.5 inches,,smartphone,android 6.0,"lcd, led",,,8.0
product_B0BMWTL2S6,"samsung galaxy s22 ultra cell phone, factory unlocked android smartphone, 128gb, 8k camera & video, brightest display screen, s pen, long battery life, fast 4nm processor, us version, phantom white",B0BMWTL2S6,"samsung galaxy s22 ultra cell phone, factory unlocked android smartphone, 128gb, 8k camera & video, brightest display screen, s pen, long battery life, fast 4nm processor, us version, phantom white",4.6,390,759.99,phantom white,6 x 4 x 8 inches,8 ounces,sm-s908uzwaxaa,"february 9, 2022",6.8 inches,,,android 12.0,,galaxy s22 ultra,,128.0
product_B01N5PACC8,alcatel pixi 4 (7) 3g calls phablet factory unlocked 9003a 8gb quad core android 6.0 desbloqueado international version,B01N5PACC8,alcatel pixi 4 (7) 3g calls phablet factory unlocked 9003a 8gb quad core android 6.0 desbloqueado international version,3.3,3,,smoky grey,7.44 x 0.36 x 4.23 inches,9 ounces,9003a,"january 13, 2017",7 inches,,,,,pixi 4,,8.0
product_B094XGTNGN,"moto g7+ plus (64gb, 4gb) 6.2"" fhd+ max vision, snapdragon 636, ip54 splash resistant, 4g volte (t-mobile, metro, ultra) xt1965-t (black) renewed",B094XGTNGN,"moto g7+ plus (64gb, 4gb) 6.2"" fhd+ max vision, snapdragon 636, ip54 splash resistant, 4g volte (t-mobile, metro, ultra) xt1965-t (black) renewed",3.3,14,,black,6 x 4 x 2 inches,14.9 ounces,,"may 13, 2021",6.2 inches,1080 x 2270,slate,android 9.0,,,,64.0
product_B084WZQVWX,"blu studio mega 2019-6.0"" display smartphone, 32gb+2gb ram- black (renewed)",B084WZQVWX,"blu studio mega 2019-6.0"" display smartphone, 32gb+2gb ram- black (renewed)",3.5,41,,black,,8 ounces,,"february 18, 2020",6 inches,720 x 1440,smartphone,,led,studio mega 2019,,64.0
product_B07YLKB6CR,"huawei nova 5t (128gb, 8gb) 6.26"" lcd, kirin 980, 48mp quad camera, 22.5w fast charge, dual sim gsm unlocked global 4g lte international model yal-l21 (midsummer purple)",B07YLKB6CR,"huawei nova 5t (128gb, 8gb) 6.26"" lcd, kirin 980, 48mp quad camera, 22.5w fast charge, dual sim gsm unlocked global 4g lte international model yal-l21 (midsummer purple)",4.8,57,,purple,6 x 4 x 4 inches,7.1 ounces,huawei nova 5t,"august 22, 2019",6.3 inches,2340 x 1080,smartphone,,lcd,nova 5t,8.0,128.0
product_B086MDQBVP,"tosuny cell phone for seniors,easy to use, 1.44 inches screen dual card dual standby 2g flip phone mobile phone, frequency band gsm850/900/1800/1900, cell phone suitable for children and adults(blue)",B086MDQBVP,"tosuny cell phone for seniors,easy to use, 1.44 inches screen dual card dual standby 2g flip phone mobile phone, frequency band gsm850/900/1800/1900, cell phone suitable for children and adults(blue)",1.4,3,,blue,,0.14 kilograms,,"april 1, 2020",1.4 inches,,flip,,,,,32.0
