id,label,key,value,label,numeric_value,unit
spec_best_sellers_rank_climatepledgefriendly921climatepledgefriendlyelectronics189,"best sellers rank: {'climate pledge friendly': 921, 'climate pledge friendly: electronics': 189}",best_sellers_rank,"{'climate pledge friendly': 921, 'climate pledge friendly: electronics': 189}",best sellers rank,,
spec_country_of_origin_vietnam,country of origin: vietnam,country_of_origin,vietnam,country of origin,,
spec_memory_storage_capacity_256gb,memory storage capacity: 256 gb,memory_storage_capacity,256 gb,memory storage capacity,256.0,gb
spec_os_android44,os: android 4.4,os,android 4.4,os,,
spec_special_features_dualcamerasmartphonedualsimtouchscreen,"special features: dual-camera, smartphone, dual-sim, touchscreen",special_features,"dual-camera, smartphone, dual-sim, touchscreen",special features,,
spec_best_sellers_rank_amazonrenewed16844climatepledgefriendlyelectronics6537,"best sellers rank: {'amazon renewed': 16844, 'climate pledge friendly: electronics': 6537}",best_sellers_rank,"{'amazon renewed': 16844, 'climate pledge friendly: electronics': 6537}",best sellers rank,,
spec_gps_glonass,gps: glonass,gps,glonass,gps,,
spec_special_features_brsensorproximitysensoraccelerometerfingerprintambientlightcompassgyroscopefingerprintbrscreen57inchhd189brcpuquadcore20ghzarmcortexa53brconnectionsupportbluetoothwifiotgnfcbrdualcartessim4gnanosim1nanosim2onanosimmicrosdbrrearcamera13mp03mpbrequipmentfmradioflashlightgpsglonasscompassbrfrontcamera5mpbrmobilephone5580mahbatterytypccnonremovablebrtechnologymediatekhelioa22brwaterproofandshockproofsmartphone3gbram32gbrom32gbsdexpandablephonebrchipsetmt6761brblackviewbv5900unlockedruggedsmartphonebrandroid90smartphone,"special features: <br>🏆sensor: proximity sensor, accelerometer, fingerprint, ambient light, compass, gyroscope, fingerprint, <br>🏆screen: 5.7-inch hd + (18: 9), <br>🏆cpu: quad-core 2.0 ghz arm cortex-a53, <br>🏆connection support: bluetooth, wifi, otg, nfc, <br>🏆dual cartes sim 4g: nano sim 1 + nano sim 2 o nano sim + micro-sd, <br>🏆rear camera: 13mp + 0.3mp, <br>🏆equipment: fm radio, flashlight, gps, glonass, compass, <br>🏆front camera: 5mp, <br>🏆mobile phone: 5580mah battery, typc c（non-removable）, <br>🏆technology:mediatek helio a22, <br>🏆waterproof and shockproof smartphone: 3 gb ram + 32 gb rom (32 gb sd expandable phone), <br>🏆chipset: mt6761, <br>🏆blackview bv5900 unlocked rugged smartphone, <br>🏆android 9.0 smartphone",special_features,"<br>🏆sensor: proximity sensor, accelerometer, fingerprint, ambient light, compass, gyroscope, fingerprint, <br>🏆screen: 5.7-inch hd + (18: 9), <br>🏆cpu: quad-core 2.0 ghz arm cortex-a53, <br>🏆connection support: bluetooth, wifi, otg, nfc, <br>🏆dual cartes sim 4g: nano sim 1 + nano sim 2 o nano sim + micro-sd, <br>🏆rear camera: 13mp + 0.3mp, <br>🏆equipment: fm radio, flashlight, gps, glonass, compass, <br>🏆front camera: 5mp, <br>🏆mobile phone: 5580mah battery, typc c（non-removable）, <br>🏆technology:mediatek helio a22, <br>🏆waterproof and shockproof smartphone: 3 gb ram + 32 gb rom (32 gb sd expandable phone), <br>🏆chipset: mt6761, <br>🏆blackview bv5900 unlocked rugged smartphone, <br>🏆android 9.0 smartphone",special features,,
spec_phone_talk_time_12hours,phone talk time: 12 hours,phone_talk_time,12 hours,phone talk time,12.0,h
spec_best_sellers_rank_amazonrenewed668climatepledgefriendlyelectronics1689,"best sellers rank: {'amazon renewed': 668, 'climate pledge friendly: electronics': 1689}",best_sellers_rank,"{'amazon renewed': 668, 'climate pledge friendly: electronics': 1689}",best sellers rank,,
spec_battery_power_rating_4500,battery power rating: 4500,battery_power_rating,4500,battery power rating,,
spec_package_dimensions_472x299x209inches,package dimensions: 4.72 x 2.99 x 2.09 inches,package_dimensions,4.72 x 2.99 x 2.09 inches,package dimensions,,
spec_wireless_communication_technologies_bluetoothcellular,"wireless communication technologies: bluetooth, cellular",wireless_communication_technologies,"bluetooth, cellular",wireless communication technologies,,
spec_sim_card_slot_count_singlesim,sim card slot count: single sim,sim_card_slot_count,single sim,sim card slot count,,
spec_package_dimensions_675x475x275inches,package dimensions: 6.75 x 4.75 x 2.75 inches,package_dimensions,6.75 x 4.75 x 2.75 inches,package dimensions,,
spec_best_sellers_rank_amazonrenewed11783climatepledgefriendlyelectronics5479,"best sellers rank: {'amazon renewed': 11783, 'climate pledge friendly: electronics': 5479}",best_sellers_rank,"{'amazon renewed': 11783, 'climate pledge friendly: electronics': 5479}",best sellers rank,,
spec_os_ios7,os: ios 7,os,ios 7,os,,
spec_special_features_bluetooth,special features: bluetooth,special_features,bluetooth,special features,,
spec_special_feature_bluetooth,special feature: bluetooth,special_feature,bluetooth,special feature,,
spec_memory_storage_capacity_16gb,memory storage capacity: 16 gb,memory_storage_capacity,16 gb,memory storage capacity,16.0,gb
spec_compatible_devices_laptop,compatible devices: laptop,compatible_devices,laptop,compatible devices,,
spec_display_technology_lcd,display technology: lcd,display_technology,lcd,display technology,,
spec_component_type_display,component type: display,component_type,display,component type,,
spec_resolution_240x320,resolution: 240 x 320,resolution,240 x 320,resolution,,
spec_package_dimensions_646x642x276inches,package dimensions: 6.46 x 6.42 x 2.76 inches,package_dimensions,6.46 x 6.42 x 2.76 inches,package dimensions,,
spec_human_interface_input_dialkeyboardbuttons,"human interface input: dial, keyboard, buttons",human_interface_input,"dial, keyboard, buttons",human interface input,,
spec_memory_storage_capacity_32mb,memory storage capacity: 32 mb,memory_storage_capacity,32 mb,memory storage capacity,32.0,mb
spec_package_dimensions_88x52x35inches,package dimensions: 8.8 x 5.2 x 3.5 inches,package_dimensions,8.8 x 5.2 x 3.5 inches,package dimensions,,
spec_os_symbianosv92uiq31,"os: symbian os v9.2, uiq 3.1",os,"symbian os v9.2, uiq 3.1",os,,
spec_wireless_communication_technologies_cellularbluetoothwifi,"wireless communication technologies: cellular, bluetooth, wi-fi",wireless_communication_technologies,"cellular, bluetooth, wi-fi",wireless communication technologies,,
spec_special_features_quadbandvideocallingcamerapushtotalksmartphone,"special features: quad-band, video-calling, camera, push-to-talk, smartphone",special_features,"quad-band, video-calling, camera, push-to-talk, smartphone",special features,,
spec_other_display_features_wirelessphoneaccessory,other display features: wireless phone accessory,other_display_features,wireless phone accessory,other display features,,
spec_other_camera_features_primarycamera2mp1600x1200pixelsledflashsecondarycameravgavideocallcamera,"other camera features: primary camera: 2 mp, 1600 x 1200 pixels, led flash|secondary camera: vga videocall camera",other_camera_features,"primary camera: 2 mp, 1600 x 1200 pixels, led flash|secondary camera: vga videocall camera",other camera features,,
spec_package_dimensions_68x35x2inches,package dimensions: 6.8 x 3.5 x 2 inches,package_dimensions,6.8 x 3.5 x 2 inches,package dimensions,,
spec_best_sellers_rank_amazonrenewed17018climatepledgefriendlyelectronics6569,"best sellers rank: {'amazon renewed': 17018, 'climate pledge friendly: electronics': 6569}",best_sellers_rank,"{'amazon renewed': 17018, 'climate pledge friendly: electronics': 6569}",best sellers rank,,
spec_os_android60,os: android 6.0,os,android 6.0,os,,
spec_wireless_communication_technologies_bluetoothcellularwifi,"wireless communication technologies: bluetooth, cellular, wi-fi",wireless_communication_technologies,"bluetooth, cellular, wi-fi",wireless communication technologies,,
spec_battery_power_rating_1000,battery power rating: 1000,battery_power_rating,1000,battery power rating,,
spec_best_sellers_rank_amazonrenewed1305,best sellers rank: {'amazon renewed': 1305},best_sellers_rank,{'amazon renewed': 1305},best sellers rank,,
spec_package_dimensions_669x433x272inches,package dimensions: 6.69 x 4.33 x 2.72 inches,package_dimensions,6.69 x 4.33 x 2.72 inches,package dimensions,,
spec_best_sellers_rank_amazonrenewed30439climatepledgefriendlyelectronics8631,"best sellers rank: {'amazon renewed': 30439, 'climate pledge friendly: electronics': 8631}",best_sellers_rank,"{'amazon renewed': 30439, 'climate pledge friendly: electronics': 8631}",best sellers rank,,
spec_package_dimensions_3x3x2inches,package dimensions: 3 x 3 x 2 inches,package_dimensions,3 x 3 x 2 inches,package dimensions,,
spec_ram_64mb,ram: 64 mb,ram,64 mb,ram,64.0,mb
spec_human_interface_input_keyboard,human interface input: keyboard,human_interface_input,keyboard,human interface input,,
spec_batteries_1productspecificbatteriesrequiredincluded,batteries: 1 product specific batteries required. (included),batteries,1 product specific batteries required. (included),batteries,,
spec_best_sellers_rank_climatepledgefriendly43144climatepledgefriendlyelectronics8984,"best sellers rank: {'climate pledge friendly': 43144, 'climate pledge friendly: electronics': 8984}",best_sellers_rank,"{'climate pledge friendly': 43144, 'climate pledge friendly: electronics': 8984}",best sellers rank,,
spec_os_android120,os: android 12.0,os,android 12.0,os,,
spec_resolution_2560x1440,resolution: 2560 x 1440,resolution,2560 x 1440,resolution,,
spec_best_sellers_rank_amazonrenewed3903climatepledgefriendlyelectronics3519,"best sellers rank: {'amazon renewed': 3903, 'climate pledge friendly: electronics': 3519}",best_sellers_rank,"{'amazon renewed': 3903, 'climate pledge friendly: electronics': 3519}",best sellers rank,,
spec_best_sellers_rank_amazonrenewed946climatepledgefriendlyelectronics1972,"best sellers rank: {'amazon renewed': 946, 'climate pledge friendly: electronics': 1972}",best_sellers_rank,"{'amazon renewed': 946, 'climate pledge friendly: electronics': 1972}",best sellers rank,,
spec_os_ios12,os: ios 12,os,ios 12,os,,
spec_ram_256,ram: 256,ram,256,ram,,
spec_battery_power_rating_2815,battery power rating: 2815,battery_power_rating,2815,battery power rating,,
spec_country_of_origin_usa,country of origin: usa,country_of_origin,usa,country of origin,,
spec_package_dimensions_49x36x23inches,package dimensions: 4.9 x 3.6 x 2.3 inches,package_dimensions,4.9 x 3.6 x 2.3 inches,package dimensions,,
spec_os_proprietary,os: proprietary,os,proprietary,os,,
spec_package_dimensions_551x331x22inches,package dimensions: 5.51 x 3.31 x 2.2 inches,package_dimensions,5.51 x 3.31 x 2.2 inches,package dimensions,,
spec_human_interface_input_keypad,human interface input: keypad,human_interface_input,keypad,human interface input,,
spec_battery_power_rating_4000milliamphours,battery power rating: 4000 milliamp hours,battery_power_rating,4000 milliamp hours,battery power rating,,
spec_memory_storage_capacity_4gb,memory storage capacity: 4 gb,memory_storage_capacity,4 gb,memory storage capacity,4.0,gb
spec_package_dimensions_709x374x114inches,package dimensions: 7.09 x 3.74 x 1.14 inches,package_dimensions,7.09 x 3.74 x 1.14 inches,package dimensions,,
spec_best_sellers_rank_amazonrenewed9869climatepledgefriendlyelectronics5054,"best sellers rank: {'amazon renewed': 9869, 'climate pledge friendly: electronics': 5054}",best_sellers_rank,"{'amazon renewed': 9869, 'climate pledge friendly: electronics': 5054}",best sellers rank,,
spec_ram_12gb,ram: 12 gb,ram,12 gb,ram,12.0,gb
spec_battery_power_rating_5000,battery power rating: 5000,battery_power_rating,5000,battery power rating,,
spec_memory_storage_capacity_12gb,memory storage capacity: 12 gb,memory_storage_capacity,12 gb,memory storage capacity,12.0,gb
spec_package_dimensions_909x591x189inches,package dimensions: 9.09 x 5.91 x 1.89 inches,package_dimensions,9.09 x 5.91 x 1.89 inches,package dimensions,,
spec_ram_2gb,ram: 2 gb,ram,2 gb,ram,2.0,gb
spec_wireless_communication_technologies_cellular3gwifi,"wireless communication technologies: cellular, 3g, wi-fi",wireless_communication_technologies,"cellular, 3g, wi-fi",wireless communication technologies,,
spec_package_dimensions_1091x547x331inches,package dimensions: 10.91 x 5.47 x 3.31 inches,package_dimensions,10.91 x 5.47 x 3.31 inches,package dimensions,,
spec_ram_512mb,ram: 512 mb,ram,512 mb,ram,512.0,mb
spec_wireless_communication_technologies_wifi,wireless communication technologies: wi-fi,wireless_communication_technologies,wi-fi,wireless communication technologies,,
spec_best_sellers_rank_amazonrenewed41601climatepledgefriendlyelectronics9833,"best sellers rank: {'amazon renewed': 41601, 'climate pledge friendly: electronics': 9833}",best_sellers_rank,"{'amazon renewed': 41601, 'climate pledge friendly: electronics': 9833}",best sellers rank,,
spec_os_windows10,os: windows 10,os,windows 10,os,,
spec_ram_3gb,ram: 3 gb,ram,3 gb,ram,3.0,gb
spec_package_dimensions_657x358x209inches,package dimensions: 6.57 x 3.58 x 2.09 inches,package_dimensions,6.57 x 3.58 x 2.09 inches,package dimensions,,
spec_wireless_communication_technologies_bluetoothwifi,"wireless communication technologies: bluetooth, wi-fi",wireless_communication_technologies,"bluetooth, wi-fi",wireless communication technologies,,
spec_special_features_sim,"special features: 移动热点能力, 双 sim 卡, 国际采购, 可扩展存储器",special_features,"移动热点能力, 双 sim 卡, 国际采购, 可扩展存储器",special features,,
spec_battery_power_rating_2500milliamperehourmah,battery power rating: 2500 milliampere hour (mah),battery_power_rating,2500 milliampere hour (mah),battery power rating,,
spec_phone_standby_time_with_data_48hours,phone standby time (with data): 48 hours,phone_standby_time_with_data,48 hours,phone standby time (with data),48.0,h
spec_package_dimensions_709x362x224inches,package dimensions: 7.09 x 3.62 x 2.24 inches,package_dimensions,7.09 x 3.62 x 2.24 inches,package dimensions,,
spec_special_features_usbotggpssim,"special features: 基本型手机, 支持 usb otg, 内置 gps, 双 sim 卡, 可扩展存储器",special_features,"基本型手机, 支持 usb otg, 内置 gps, 双 sim 卡, 可扩展存储器",special features,,
spec_phone_talk_time_52hours,phone talk time: 52 hours,phone_talk_time,52 hours,phone talk time,52.0,h
spec_os_android70,os: android 7.0,os,android 7.0,os,,
spec_special_features_durablewaterproof,"special features: durable, waterproof",special_features,"durable, waterproof",special features,,
spec_other_camera_features_80,other camera features: 8.0,other_camera_features,8.0,other camera features,,
spec_department_wireless,department: wireless,department,wireless,department,,
spec_package_dimensions_44x28x24inches,package dimensions: 4.4 x 2.8 x 2.4 inches,package_dimensions,4.4 x 2.8 x 2.4 inches,package dimensions,,
spec_year_2022,year: 2022,year,2022,year,,
spec_best_sellers_rank_amazonrenewed185climatepledgefriendlyelectronics877,"best sellers rank: {'amazon renewed': 185, 'climate pledge friendly: electronics': 877}",best_sellers_rank,"{'amazon renewed': 185, 'climate pledge friendly: electronics': 877}",best sellers rank,,
spec_os_ios16,os: ios 16,os,ios 16,os,,
spec_battery_power_rating_3095milliamperehourmah,battery power rating: 3095 milliampere hour (mah),battery_power_rating,3095 milliampere hour (mah),battery power rating,,
spec_best_sellers_rank_amazonrenewed5166climatepledgefriendlyelectronics3921,"best sellers rank: {'amazon renewed': 5166, 'climate pledge friendly: electronics': 3921}",best_sellers_rank,"{'amazon renewed': 5166, 'climate pledge friendly: electronics': 3921}",best sellers rank,,
spec_best_sellers_rank_cellphonesaccessories1172cellphoneportablepowerbanks94climatepledgefriendlyelectronics327,"best sellers rank: {'cell phones & accessories': 1172, 'cell phone portable power banks': 94, 'climate pledge friendly: electronics': 327}",best_sellers_rank,"{'cell phones & accessories': 1172, 'cell phone portable power banks': 94, 'climate pledge friendly: electronics': 327}",best sellers rank,,
spec_human_interface_input_touchscreenwithstylussupport,human interface input: touchscreen with stylus support,human_interface_input,touchscreen with stylus support,human interface input,,
spec_battery_power_rating_3500milliamphours,battery power rating: 3500 milliamp hours,battery_power_rating,3500 milliamp hours,battery power rating,,
spec_os_android41,os: android 4.1,os,android 4.1,os,,
spec_package_dimensions_104x75x33inches,package dimensions: 10.4 x 7.5 x 3.3 inches,package_dimensions,10.4 x 7.5 x 3.3 inches,package dimensions,,
spec_os_palmwebos,os: palm_web_os,os,palm_web_os,os,,
spec_human_interface_input_touchscreendialkeyboard,"human interface input: touchscreen, dial, keyboard",human_interface_input,"touchscreen, dial, keyboard",human interface input,,
spec_os_android80,os: android 8.0,os,android 8.0,os,,
spec_special_features_waterproofweatherproof,"special features: waterproof, weatherproof",special_features,"waterproof, weatherproof",special features,,
spec_os_android23,os: android 2.3,os,android 2.3,os,,
spec_wireless_communication_technologies_cellularwifinfc,"wireless communication technologies: cellular, wi-fi, nfc",wireless_communication_technologies,"cellular, wi-fi, nfc",wireless communication technologies,,
spec_special_features_touchscreencameradualcoreprocessorsmartphone,"special features: touchscreen, camera, dual-core-processor, smartphone",special_features,"touchscreen, camera, dual-core-processor, smartphone",special features,,
spec_phone_talk_time_360minutes,phone talk time: 360 minutes,phone_talk_time,360 minutes,phone talk time,,
spec_phone_standby_time_with_data_475hours,phone standby time (with data): 475 hours,phone_standby_time_with_data,475 hours,phone standby time (with data),475.0,h
spec_os_miui13forpocobasedonandroid11,"os: miui 13 for poco, based on android 11",os,"miui 13 for poco, based on android 11",os,,
spec_ram_256gb,ram: 256 gb,ram,256 gb,ram,256.0,gb
spec_special_features_4kvideorecording,special features: 4k video recording,special_features,4k video recording,special features,,
spec_battery_power_rating_5000milliamperehourmah,battery power rating: 5000 milliampere hour (mah),battery_power_rating,5000 milliampere hour (mah),battery power rating,,
spec_phone_talk_time_8hours,phone talk time: 8 hours,phone_talk_time,8 hours,phone talk time,8.0,h
spec_best_sellers_rank_climatepledgefriendly2218climatepledgefriendlyelectronics494,"best sellers rank: {'climate pledge friendly': 2218, 'climate pledge friendly: electronics': 494}",best_sellers_rank,"{'climate pledge friendly': 2218, 'climate pledge friendly: electronics': 494}",best sellers rank,,
spec_wireless_communication_technologies_bluetoothcellular3g,"wireless communication technologies: bluetooth, cellular, 3g",wireless_communication_technologies,"bluetooth, cellular, 3g",wireless communication technologies,,
spec_gps_agps,gps: agps,gps,agps,gps,,
spec_special_features_dustproof,special features: dust proof,special_features,dust proof,special features,,
spec_weight_899ounces,weight: 8.99 ounces,weight,8.99 ounces,weight,8.99,oz
spec_best_sellers_rank_amazonrenewed21496climatepledgefriendlyelectronics7424,"best sellers rank: {'amazon renewed': 21496, 'climate pledge friendly: electronics': 7424}",best_sellers_rank,"{'amazon renewed': 21496, 'climate pledge friendly: electronics': 7424}",best sellers rank,,
spec_battery_power_rating_3000milliamphours,battery power rating: 3000 milliamp hours,battery_power_rating,3000 milliamp hours,battery power rating,,
spec_package_dimensions_72x36x2inches,package dimensions: 7.2 x 3.6 x 2 inches,package_dimensions,7.2 x 3.6 x 2 inches,package dimensions,,
spec_best_sellers_rank_amazonrenewed30022climatepledgefriendlyelectronics8562,"best sellers rank: {'amazon renewed': 30022, 'climate pledge friendly: electronics': 8562}",best_sellers_rank,"{'amazon renewed': 30022, 'climate pledge friendly: electronics': 8562}",best sellers rank,,
spec_ram_32,ram: 32,ram,32,ram,,
spec_connector_type_35mmjack,connector type: 3.5mm jack,connector_type,3.5mm jack,connector type,,
spec_best_sellers_rank_amazonrenewed10159climatepledgefriendlyelectronics5101,"best sellers rank: {'amazon renewed': 10159, 'climate pledge friendly: electronics': 5101}",best_sellers_rank,"{'amazon renewed': 10159, 'climate pledge friendly: electronics': 5101}",best sellers rank,,
spec_year_2018,year: 2018,year,2018,year,,
spec_ram_1gb,ram: 1 gb,ram,1 gb,ram,1.0,gb
spec_wireless_communication_technologies_bluetoothwifi3g,"wireless communication technologies: bluetooth, wi-fi, 3g",wireless_communication_technologies,"bluetooth, wi-fi, 3g",wireless communication technologies,,
spec_special_features_fingerprintsensor,special features: fingerprint sensor,special_features,fingerprint sensor,special features,,
spec_phone_talk_time_30hours,phone talk time: 30 hours,phone_talk_time,30 hours,phone talk time,30.0,h
spec_phone_standby_time_with_data_500hours,phone standby time (with data): 500 hours,phone_standby_time_with_data,500 hours,phone standby time (with data),500.0,h
spec_package_dimensions_724x386x193inches,package dimensions: 7.24 x 3.86 x 1.93 inches,package_dimensions,7.24 x 3.86 x 1.93 inches,package dimensions,,
spec_best_sellers_rank_amazonrenewed561climatepledgefriendlyelectronics1528,"best sellers rank: {'amazon renewed': 561, 'climate pledge friendly: electronics': 1528}",best_sellers_rank,"{'amazon renewed': 561, 'climate pledge friendly: electronics': 1528}",best sellers rank,,
spec_year_2020,year: 2020,year,2020,year,,
spec_package_dimensions_693x524x268inches,package dimensions: 6.93 x 5.24 x 2.68 inches,package_dimensions,6.93 x 5.24 x 2.68 inches,package dimensions,,
spec_best_sellers_rank_amazonrenewed49604climatepledgefriendlyelectronics10431,"best sellers rank: {'amazon renewed': 49604, 'climate pledge friendly: electronics': 10431}",best_sellers_rank,"{'amazon renewed': 49604, 'climate pledge friendly: electronics': 10431}",best sellers rank,,
spec_package_dimensions_589x287x031inches,package dimensions: 5.89 x 2.87 x 0.31 inches,package_dimensions,5.89 x 2.87 x 0.31 inches,package dimensions,,
spec_battery_capacity_3000milliamphours,battery capacity: 3000 milliamp hours,battery_capacity,3000 milliamp hours,battery capacity,,
spec_best_sellers_rank_amazonrenewed9759climatepledgefriendlyelectronics4989,"best sellers rank: {'amazon renewed': 9759, 'climate pledge friendly: electronics': 4989}",best_sellers_rank,"{'amazon renewed': 9759, 'climate pledge friendly: electronics': 4989}",best sellers rank,,
spec_battery_power_rating_4300milliamphours,battery power rating: 4300 milliamp hours,battery_power_rating,4300 milliamp hours,battery power rating,,
